Grade;Zx;Zy;A
B40;-0.25;-0.2;0
B40;-0.25;-0.15;0
B40;-0.25;-0.1;0
B40;-0.25;-0.05;0
B40;-0.25;0;0
B40;-0.25;0.05;0
B40;-0.25;0.1;0
B40;-0.25;0.15;0
B40;-0.25;0.2;0
B40;0.25;-0.2;0
B40;0.25;-0.15;0
B40;0.25;-0.1;0
B40;0.25;-0.05;0
B40;0.25;0;0
B40;0.25;0.05;0
B40;0.25;0.1;0
B40;0.25;0.15;0
B40;0.25;0.2;0
B40;-0.2;-0.2;0
B40;-0.15;-0.2;0
B40;-0.1;-0.2;0
B40;-0.05;-0.2;0
B40;0;-0.2;0
B40;0.05;-0.2;0
B40;0.1;-0.2;0
B40;0.15;-0.2;0
B40;0.2;-0.2;0
B40;-0.2;0.2;0
B40;-0.15;0.2;0
B40;-0.1;0.2;0
B40;-0.05;0.2;0
B40;0;0.2;0
B40;0.05;0.2;0
B40;0.1;0.2;0
B40;0.15;0.2;0
B40;0.2;0.2;0
B40;-0.225;-0.175;0.0025
B40;-0.175;-0.175;0.0025
B40;-0.125;-0.175;0.0025
B40;-0.075;-0.175;0.0025
B40;-0.025;-0.175;0.0025
B40;0.025;-0.175;0.0025
B40;0.075;-0.175;0.0025
B40;0.125;-0.175;0.0025
B40;0.175;-0.175;0.0025
B40;0.225;-0.175;0.0025
B40;-0.225;-0.125;0.0025
B40;-0.175;-0.125;0.0025
B40;-0.125;-0.125;0.0025
B40;-0.075;-0.125;0.0025
B40;-0.025;-0.125;0.0025
B40;0.025;-0.125;0.0025
B40;0.075;-0.125;0.0025
B40;0.125;-0.125;0.0025
B40;0.175;-0.125;0.0025
B40;0.225;-0.125;0.0025
B40;-0.225;-0.075;0.0025
B40;-0.175;-0.075;0.0025
B40;-0.125;-0.075;0.0025
B40;-0.075;-0.075;0.0025
B40;-0.025;-0.075;0.0025
B40;0.025;-0.075;0.0025
B40;0.075;-0.075;0.0025
B40;0.125;-0.075;0.0025
B40;0.175;-0.075;0.0025
B40;0.225;-0.075;0.0025
B40;-0.225;-0.025;0.0025
B40;-0.175;-0.025;0.0025
B40;-0.125;-0.025;0.0025
B40;-0.075;-0.025;0.0025
B40;-0.025;-0.025;0.0025
B40;0.025;-0.025;0.0025
B40;0.075;-0.025;0.0025
B40;0.125;-0.025;0.0025
B40;0.175;-0.025;0.0025
B40;0.225;-0.025;0.0025
B40;-0.225;0.025;0.0025
B40;-0.175;0.025;0.0025
B40;-0.125;0.025;0.0025
B40;-0.075;0.025;0.0025
B40;-0.025;0.025;0.0025
B40;0.025;0.025;0.0025
B40;0.075;0.025;0.0025
B40;0.125;0.025;0.0025
B40;0.175;0.025;0.0025
B40;0.225;0.025;0.0025
B40;-0.225;0.075;0.0025
B40;-0.175;0.075;0.0025
B40;-0.125;0.075;0.0025
B40;-0.075;0.075;0.0025
B40;-0.025;0.075;0.0025
B40;0.025;0.075;0.0025
B40;0.075;0.075;0.0025
B40;0.125;0.075;0.0025
B40;0.175;0.075;0.0025
B40;0.225;0.075;0.0025
B40;-0.225;0.125;0.0025
B40;-0.175;0.125;0.0025
B40;-0.125;0.125;0.0025
B40;-0.075;0.125;0.0025
B40;-0.025;0.125;0.0025
B40;0.025;0.125;0.0025
B40;0.075;0.125;0.0025
B40;0.125;0.125;0.0025
B40;0.175;0.125;0.0025
B40;0.225;0.125;0.0025
B40;-0.225;0.175;0.0025
B40;-0.175;0.175;0.0025
B40;-0.125;0.175;0.0025
B40;-0.075;0.175;0.0025
B40;-0.025;0.175;0.0025
B40;0.025;0.175;0.0025
B40;0.075;0.175;0.0025
B40;0.125;0.175;0.0025
B40;0.175;0.175;0.0025
B40;0.225;0.175;0.0025
A500;0.21;-0.16;0.0006158
A500;0.21;0;0.0001539
A500;0.21;0.16;0.0006158
A500;0;-0.16;0.0001539
A500;0;0.16;0.0001539
A500;-0.21;-0.16;0.0006158
A500;-0.21;0;0.0001539
A500;-0.21;0.16;0.0006158
