Grade;eps2;eps0;eps1;epst1;epst0;epst2;Rc;Sc1;St1;Rt;E;T
B15;-0.0035;-0.002;-0.0002125;0.00001875;0.0001;0.00015;-8.5;-5.1;0.45;0.75;24000;concrete
B20;-0.0035;-0.002;-0.000250909;1.96E-05;0.0001;0.00015;-11.5;-6.9;0.54;0.9;27500;concrete
B25;-0.0035;-0.002;-0.00029;0.000021;0.0001;0.00015;-14.5;-8.7;0.63;1.05;30000;concrete
B30;-0.0035;-0.002;-0.000313846;2.12E-05;0.0001;0.00015;-17;-10.2;0.69;1.15;32500;concrete
B35;-0.0035;-0.002;-0.00033913;2.26E-05;0.0001;0.00015;-19.5;-11.7;0.78;1.3;34500;concrete
B40;-0.0035;-0.002;-0.000366667;2.33E-05;0.0001;0.00015;-22;-13.2;0.84;1.4;36000;concrete
B45;-0.0035;-0.002;-0.000405405;2.43E-05;0.0001;0.00015;-25;-15;0.9;1.5;37000;concrete
B50;-0.0035;-0.002;-0.000434211;2.53E-05;0.0001;0.00015;-27.5;-16.5;0.96;1.6;38000;concrete
B55;-0.0035;-0.002;-0.000461538;2.62E-05;0.0001;0.00015;-30;-18;1.02;1.7;39000;concrete
B60;-0.0035;-0.002;-0.000501266;2.73E-05;0.0001;0.00015;-33;-19.8;1.08;1.8;39500;concrete
B70;-0.0033;-0.002;-0.000541463;2.78E-05;0.0001;0.00015;-37;-22.2;1.14;1.9;41000;concrete
B80;-0.0031;-0.002;-0.000585714;0.00003;0.0001;0.00015;-41;-24.6;1.26;2.1;42000;concrete
B90;-0.003;-0.002;-0.000621176;3.04E-05;0.0001;0.00015;-44;-26.4;1.29;2.15;42500;concrete
B100;-0.0028;-0.002;-0.000662791;3.07E-05;0.0001;0.00015;-47.5;-28.5;1.32;2.2;43000;concrete
A240;-0.025;-0.00105;0;0;0.00105;0.025;-210;0;0;210;200000;rebar
A400;-0.025;-0.00175;0;0;0.00175;0.025;-350;0;0;350;200000;rebar
A500;-0.025;-0.002;0;0;0.002175;0.025;-400;0;0;435;200000;rebar
A600;-0.015;-0.00625641;-0.001846154;0.0024;0.006933333;0.015;-440;-360;468;572;195000;rebar
A800;-0.015;-0.00625641;-0.001846154;0.003207692;0.007920513;0.015;-440;-360;625.5;764.5;195000;rebar
A1000;-0.015;-0.00625641;-0.001846154;0.004015385;0.008907692;0.015;-440;-360;783;957;195000;rebar
K1400;-0.015;-0.00625641;-0.001846154;0.005607692;0.010853846;0.015;-440;-360;1093.5;1336.5;195000;rebar
K1500;-0.015;-0.00625641;-0.001846154;0.006;0.011333333;0.015;-440;-360;1170;1430;195000;rebar
K1600;-0.015;-0.00625641;-0.001846154;0.006415385;0.011841026;0.015;-440;-360;1251;1529;195000;rebar
K1650;-0.015;-0.00625641;-0.001846154;0.006623077;0.012094872;0.015;-440;-360;1291.5;1578.5;195000;rebar
K1700;-0.015;-0.00625641;-0.001846154;0.006807692;0.012320513;0.015;-440;-360;1327.5;1622.5;195000;rebar
K1800;-0.015;-0.00625641;-0.001846154;0.007223077;0.012828205;0.015;-440;-360;1408.5;1721.5;195000;rebar
K1900;-0.015;-0.00625641;-0.001846154;0.007615385;0.013307692;0.015;-440;-360;1485;1815;195000;rebar
C245;-0.025;-0.001166667;0;0;0.001166667;0.025;-245;0;0;245;210000;rebar
Fib;-0.025;-0.018;0;0;0.018;0.025;-4410;0;0;4410;245000;rebar
