Grade;Zx;Zy;Strain;Stress;Area
B30;-0.25;-0.2;-0.003405487763577744;-17;0
B30;-0.25;-0.15000000000000002;-0.0030899538621931661;-17;0
B30;-0.25;-0.1;-0.0027744199608085887;-17;0
B30;-0.25;-0.049999999999999989;-0.0024588860594240108;-17;0
B30;-0.25;0;-0.0021433521580394334;-17;0
B30;-0.25;0.049999999999999989;-0.0018278182566548559;-16.305617485267078;0
B30;-0.25;0.10000000000000003;-0.0015122843552702781;-15.033117743597495;0
B30;-0.25;0.15000000000000002;-0.0011967504538857004;-13.760618001927915;0
B30;-0.25;0.2;-0.00088121655250112275;-12.488118260258336;0
B30;0.25;-0.2;0.00040075037934500209;0;0
B30;0.25;-0.15000000000000002;0.00071628428072957975;0;0
B30;0.25;-0.1;0.0010318181821141574;0;0
B30;0.25;-0.049999999999999989;0.0013473520834987353;0;0
B30;0.25;0;0.0016628859848833127;0;0
B30;0.25;0.049999999999999989;0.00197841988626789;0;0
B30;0.25;0.10000000000000003;0.002293953787652468;0;0
B30;0.25;0.15000000000000002;0.0026094876890370459;0;0
B30;0.25;0.2;0.0029250215904216234;0;0
B30;-0.2;-0.2;-0.0030248639492854697;-17;0
B30;-0.15000000000000002;-0.2;-0.002644240134993195;-17;0
B30;-0.1;-0.2;-0.0022636163207009202;-17;0
B30;-0.049999999999999989;-0.2;-0.0018829925064086455;-16.528126756855418;0
B30;0;-0.2;-0.001502368692116371;-14.993129397665529;0
B30;0.049999999999999989;-0.2;-0.0011217448778240964;-13.458132038475641;0
B30;0.10000000000000003;-0.2;-0.00074112106353182148;-11.92313467928575;0
B30;0.15000000000000002;-0.2;-0.00036049724923954696;-10.388137320095863;0
B30;0.2;-0.2;2.0126565052727566E-05;0;0
B30;-0.2;0.2;-0.00050059273820884822;-10.953120901068447;0
B30;-0.15000000000000002;0.2;-0.0001199689239165737;-3.8989900272886451;0
B30;-0.1;0.2;0.00026065489037570104;0;0
B30;-0.049999999999999989;0.2;0.00064127870466797578;0;0
B30;0;0.2;0.0010219025189602503;0;0
B30;0.049999999999999989;0.2;0.0014025263332525248;0;0
B30;0.10000000000000003;0.2;0.0017831501475447998;0;0
B30;0.15000000000000002;0.2;0.0021637739618370743;0;0
