Grade;Z;A;n;alpha
B60;0.25;0;1;0
B60;0.24000000000000002;0.02;1;0
B60;0.22000000000000003;0.02;1;0
B60;0.2;0.02;1;0
B60;0.18000000000000002;0.02;1;0
B60;0.16000000000000003;0.02;1;0
B60;0.14;0.02;1;0
B60;0.12000000000000002;0.02;1;0
B60;0.10000000000000003;0.02;1;0
B60;0.080000000000000016;0.02;1;0
B60;0.060000000000000026;0.02;1;0
B60;0.040000000000000036;0.02;1;0
B60;0.020000000000000018;0.02;1;0
B60;0;0.02;1;0
B60;-0.019999999999999962;0.02;1;0
B60;-0.03999999999999998;0.02;1;0
B60;-0.06;0.02;1;0
B60;-0.07999999999999996;0.02;1;0
B60;-0.099999999999999978;0.02;1;0
B60;-0.12;0.02;1;0
B60;-0.13999999999999996;0.02;1;0
B60;-0.15999999999999998;0.02;1;0
B60;-0.18;0.02;1;0
B60;-0.19999999999999996;0.02;1;0
B60;-0.21999999999999997;0.02;1;0
B60;-0.24;0.02;1;0
B60;-0.25;0;1;0
A500;0.178;0.002454;5;0
A500;0.153;0.002454;5;90
A500;-0.153;0.002454;5;90
A500;-0.178;0.002454;5;0
