Grade;Z;A;n;alpha
B45;0.3;0;1;0
B45;0.29;0.02;1;0
B45;0.27;0.02;1;0
B45;0.25;0.02;1;0
B45;0.23;0.02;1;0
B45;0.21;0.02;1;0
B45;0.19;0.02;1;0
B45;0.17;0.02;1;0
B45;0.15;0.02;1;0
B45;0.13;0.02;1;0
B45;0.11;0.02;1;0
B45;0.09;0.02;1;0
B45;0.07;0.02;1;0
B45;0.05;0.02;1;0
B45;0.03;0.02;1;0
B45;0.01;0.02;1;0
B45;-0.01;0.02;1;0
B45;-0.03;0.02;1;0
B45;-0.05;0.02;1;0
B45;-0.07;0.02;1;0
B45;-0.09;0.02;1;0
B45;-0.11;0.02;1;0
B45;-0.13;0.02;1;0
B45;-0.15;0.02;1;0
B45;-0.17;0.02;1;0
B45;-0.19;0.02;1;0
B45;-0.21;0.02;1;0
B45;-0.23;0.02;1;0
B45;-0.25;0.02;1;0
B45;-0.27;0.02;1;0
B45;-0.29;0.02;1;0
B45;-0.3;0;1;0
A500;0.244;0.000565;5;0
A500;0.232;0.000565;5;90
A500;-0.226;0.001005;5;0
A500;-0.242;0.001005;5;90
