Nxx;Nyy;Nxy;Mxx;Myy;Mxy;Nxx2;Nyy2;Nxy2;Mxx2;Myy2;Mxy2;Nxx2l;Nyy2l;Nxy2l;Mxx2l;Myy2l;Mxy2l
-23.490164;83.2548776;-8.624672;-31.9466064;-25.069696;5.8177992;0;0;0;0;0;0;0;0;0;0;0;0
81.2746912;177.3977088;40.7167288;6.1723568;31.1182312;-3.8793712;0;0;0;0;0;0;0;0;0;0;0;0
96.5079064;-16.6718512;56.3671392;54.9937864;12.0608856;-4.4610112;0;0;0;0;0;0;0;0;0;0;0;0
36.5517456;284.4118872;40.6141168;-14.8593744;-47.2499144;4.8876616;0;0;0;0;0;0;0;0;0;0;0;0
-4.6503472;199.3327856;-1.6957464;-33.0891112;-46.8570432;-1.2207576;0;0;0;0;0;0;0;0;0;0;0;0
127.1427856;127.3387272;60.204848;-43.293552;-51.3130432;-3.91558;0;0;0;0;0;0;0;0;0;0;0;0
-14.8032688;106.3208592;5.4674456;-35.9905096;-9.8122808;3.0980912;0;0;0;0;0;0;0;0;0;0;0;0
-7.513596;81.5384664;5.0609976;-61.0227904;-29.3906376;8.3219608;0;0;0;0;0;0;0;0;0;0;0;0
-6.9961672;215.8587912;-76.0505176;40.2153784;194.7848568;4.1718;0;0;0;0;0;0;0;0;0;0;0;0
126.2299256;427.6120872;-86.7513432;45.4532688;221.3735904;5.1963248;0;0;0;0;0;0;0;0;0;0;0;0
184.7318176;435.6864808;113.7648296;54.2430456;308.3791688;3.8166288;0;0;0;0;0;0;0;0;0;0;0;0
